"id","japanese","english","const"
"3086","システムを更新しました。","System updated.",""
"3087","システムの更新に失敗しました。","Failed to update system.",""
"3088","本当にシステムを更新していいですか？","Are you really sure to update the system?",""
"3089","システムに設定済みの項目は削除できません。","Unable to delete setted items in the system.",""
"3090","システム項目は削除できません。","Unable to delete system items.",""
"3091","システムから削除されます。項目を削除しますか？","Delete from the system. Are you sure to delete the item?",""
"3092","プロジェクト項目　（定義プロジェクトでのみ利用可能）","Project item  (Can be used only when defining a project)",""
"3093","サーバ項目　　　　（全プロジェクトで利用可能）","Server items        (Can be used by all projects)",""
"3094","更新不可","Cannot update",""
"3095","入力必須","Must input",""
"3096","末端のみ選択可能にする","Set only end can be selected",""
"3097","自動的に採番する項目として扱う","used as automatic numbering item",""
"3098","入力オプション","Input option",""
"3099","当日を設定する","Set the very day",""
"3100","利用者を設定する","Set user",""
"3101","利用者の組織を設定する","Set user organization",""
"3102","繰返し項目編集","Edit repetitive item ",""
"3103","略称項目名は%1文字以内で設定してください。","Please set abbreviated item name within %1 characters.",""
"3104","文書番号を自動的に採番する項目は利用管理項目としてひとつしか定義できません。","Item with automatic document numbering can only define one as management item.",""
"3105","すでに「%1」が定義されているためチェックを外してください。","Since [%1] already defined, please remove the check.",""
"3106","システム","System",""
"3107","自サーバ","Self server",""
"3108","他サーバ","Other server",""
"3109","当日","The very day",""
"3110","利用者","User",""
"3111","情報ファイルの読み込み時にエラーが発生しました。","Error occurred when reading information file.",""
"3112","情報ファイルとして認識できません。","Cannot recognize as information file.",""
"3113","または、古いバージョンの情報ファイルのため対応できません。","Or cannot response since it is an old version of information file.",""
"3114","情報ファイルはバージョンが新しいため対応できません。","Cannot correspond with new information file version.",""
"3115","フォーマットが誤っています","Format is mistaken",""
"3116","ItemGIDフォーマットが誤っています","ItemGID format is mistaken",""
"3117","ControlKindフォーマットが誤っています","[ControlKind] format is mistaken",""
"3118","ItemAttrTypeフォーマットが誤っています","ItemAttrType format is mistaken",""
"3119","ItemSubAttrTypeフォーマットが誤っています","ItemSubAttrType format is mistaken",""
"3120","Sizeフォーマットが誤っています","Size format is mistaken",""
"3121","ItemNameフォーマットが誤っています","ItemName format is mistaken",""
"3122","OmitItemNameフォーマットが誤っています","OmitItemName format is mistaken",""
"3123","NullFlagフォーマットが誤っています","NullFlag format is mistaken",""
"3124","InitStartDateDataフォーマットが誤っています","InitStartDateData format is mistaken",""
"3125","InitEndDateDataフォーマットが誤っています","InitEndDateData format is mistaken",""
"3126","InitIntDataフォーマットが誤っています","InitIntData format is mistaken",""
"3127","InitStringDataフォーマットが誤っています","InitStringData format is mistaken",""
"3128","InitDecimalDataフォーマットが誤っています","InitDecimalData format is mistaken",""
"3129","InitSelectDataフォーマットが誤っています","InitSelectData format is mistaken",""
"3130","InitDataModeフォーマットが誤っています","InitDataMode format is mistaken",""
"3131","ScreenInfoフォーマットが誤っています","ScreenInfo format is mistaken",""
"3132","Annotationフォーマットが誤っています","Annotation format is mistaken",""
"3133","IndispensableFlag)フォーマットが誤っています","IndispensableFlag) format is mistaken",""
"3134","ItemDelFlagフォーマットが誤っています","ItemDelFlag format is mistaken",""
"3135","SvrIDフォーマットが誤っています","SvrID: SvrID format is mistaken",""
"3136","SelectGIDフォーマットが誤っています","SelectGID format is mistaken",""
"3137","SelectNameフォーマットが誤っています","SelectName format is mistaken",""
"3138","OmitSelectNameフォーマットが誤っています","OmitSelectName format is mistaken",""
"3139","SelectSortViewフォーマットが誤っています","SelectSortView format is mistaken",""
"3140","MultiGIDフォーマットが誤っています","MultiGID format is mistaken",""
"3141","%1レコード目の%2","%2 of record %1",""
"3142","本項目は「審査実施(審査名)」と連携しているため、","Since this item is associated with [Examination implementation  (examination name)],",""
"3143","変更は「審査実施(審査名)」タブより行ってください。","Please perform change in [Examination implementation  (examination name)] tab.",""
"3144","連携項目","Associated item",""
"3145","項目を１つ以上設定してください。","Please set more than 1 item.",""
"3146","%1を設定してください。","Please set %1.",""
"3147","%1は%2文字以内で設定してください。","Please set %1 within %2 characters.",""
"3148","略称は%1文字以内で設定してください。","Please specify abbreviation within %1 characters.",""
"3149","役割名を指定してください。","Please specify title name.",""
"3150","検索文字","Search character",""
"3151","%1に検索文字が含まれる項目のみ表示します","Display only the items that contain the search string in %1",""
"3152","略称選択肢名","Abbreviated option name",""
"3153","テンプレート","Template",""
"3154","審査名を指定してください。","Please specify examination name.",""
"3155","ファイルのオープンに失敗しました。","Failed to open file.",""
"3156","カスタマイズ","Customize",""
"3157","すべてのプロジェクトに設定する","Apply to all projects",""
"3158","小項目列数","Small item columns",""
"3159","一覧の検索項目","Search item of list",""
"3160","第2項目","2nd item",""
"3161","第1項目","1st item",""
"3162","月別タブ","Monthly Tab",""
"3163","対象項目","Target item",""
"3164","一覧のソート","Sort of list",""
"3165","表示条件","Display conditions",""
"3166","「確認状態」を一覧に表示する","Display [Validation status] in the list",""
"3167","「全体」タブ表示に完了している課題は表示しない","Issues completed are not displayed in the [All] tab display.",""
"3168","基本項目","Basic item",""
"3169","プロジェクト標準設定実行","Apply project standard settings",""
"3170","プロジェクト設定に戻す","Restore project settings",""
"3171","更新しました","Updated",""
"3172","項目数が足りません","Item number not enough",""
"3173","項目数を%1内にして下さい","Set item number within %1",""
"3174","イベントのプロパティ","Event property",""
"3175","太字は入力必須","Bold items are required",""
"3176","添付ファイル選択","Select attached file",""
"3177","実施記録","Implementation record",""
"3178","ファイルパス","File path",""
"3179","実施日時：","Implementation date:",""
"3180","記録保管場所：","Record storing location:",""
"3181","添付ファイル：","Attachment:",""
"3182","ｸﾘｱ","Clear",""
"3183","する","Yes",""
"3184","しない","No",""
"3185","実施日時管理：","Implement date management:",""
"3186","対象者：","Intended member:",""
"3187","開催責任者：","Presidency holder:",""
"3188","実施予定日時：","Scheduled implementation time:",""
"3189","イベント名称：","Event name:",""
"3190","イベント種別：","Event type:",""
"3191","イベントの登録(","Event registration (",""
"3192","イベントの参照(%1)","View event(%1)",""
"3193","イベントの更新(%1)","Event update (%1)",""
"3194","イベントの流用登録(%1)","Diverted event registration (%1)",""
"3195","(未選択)","(Unselected)",""
"3196","実施日時は 'YYYY/MM/DD hh:mm' 形式で入力してください。","Please enter implementation time in 'YYYY/MM/DD hh:mm' format",""
"3197","実施日時は2001年以降の日付を指定してください。","Please specify implementation time after 2001.",""
"3198","実施予定日時は 'YYYY/MM/DD hh:mm' 形式で入力してください。","Please enter scheduled implementation time in 'YYYY/MM/DD hh:mm' format.",""
"3199","実施予定日時は2001年以降の日付を指定してください。","Please specify scheduled implementation time after 2001.",""
"3200","それ以上追加できません。","Cannot add any more.",""
"3201","イベント種別を選択してください。","Please select event type.",""
"3202","イベント名称を入力してください。","Please enter event name.",""
"3203","イベント名称は255バイト以内で入力してください。","Please enter event name within 255 bytes.",""
"3204","実施予定日時を入力してください。","Please enter scheduled implementation time.",""
"3205","開催責任者を指定してください。","Please specify presidency holder.",""
"3206","対象者を指定してください。","Please specify the Intended member.",""
"3207","実施日時管理を指定してください。","Please specify implementation time management.",""
"3208","イベントの備考は255バイト以内で入力してください。","Please enter event notes value within 255 bytes.",""
"3209","記録保管場場所は255バイト以内で入力してください。","Please enter record storing position within 255 bytes.",""
"3210","実施記録の備考は255バイト以内で入力してください。","Please enter implementation record note within 255 bytes.",""
"3211","データベースがオープンできないため、イベントの登録ができませんでした。","Since database cannot be opened, unable to register event.",""
"3212","データベースがオープンできないため、イベントの更新ができませんでした。","Since database cannot be opened, unable to update event.",""
"3213","データベースがオープンできないため、実施記録の登録ができませんでした。","Since database cannot be opened, unable to register implemented records.",""
"3214","データベースがオープンできないため、実施記録の更新ができませんでした。","Since database cannot be opened, unable to update implemented records.",""
"3215","イベントの%1番目のファイル %2 が存在しません。","The %1th file %2 of event not exists.",""
"3216","実施記録の%1番目のファイル %2 が存在しません。","No. %1 file's %2 of implementation record does not exist.",""
"3217","イベントのデータ登録時にエラーが発生しました。EventGID=%1,DataGID=%2%r%n(%3)%4","Error occurred at the time of data registration of an event. EventGID=%1,DataGID=%2%r%n(%3)%4",""
"3218","実施記録のデータ登録時にエラーが発生しました。EventGID=","Error occurred when implementation record data registration. EventGID=",""
"3219","イベントのデータ登録でエラーが発生しました。EventGID=%1,DataGID=%2%r%n(%3)%4","Error occurred in data registration of an event. EventGID=%1,DataGID=%2%r%n(%3)%4",""
"3220","実施記録のデータ登録でエラーが発生しました。EventGID=%1,DataGID=%2%r%n(%3)%4","Error occurred when implementation record data registration. EventGID=%1, DataGID=%2%r%n(%3)%4",""
"3221","イベントの項目データ登録でエラーが発生しました。EventGID=%1,DataGID=%2,ItemGID=%3%r%n(%4)%5","Error occurred in event item data registration.  EventGID=%1,DataGID=%2,ItemGID=%3%r%n(%4)%5",""
"3222","イベントの要員データ登録でエラーが発生しました。EventGID=","Error occurred in event member data registration. EventGID=",""
"3223","イベントの添付ファイルデータ登録でエラーが発生しました。EventGID=%1,DataGID=%2,ItemGID=%3%r%n(%4)%5","Error occurred in attached file data registration of an event.  EventGID=%1,DataGID=%2,ItemGID=%3%r%n(%4)%5",""
"3224","対応する題名の課題が存在しません。","Issue with the corresponding title not exists.",""
"3225","他","Other",""
"3226","□","[ ]",""
"3227","対象にしない","not as an target","PD_C_COMBO_ENDPRJ_NG_STR"
"3228","対象にする","As an target","PD_C_COMBO_ENDPRJ_OK_STR"
"3229","営業","Sales","PD_C_REQ_BUSINESS_STR"
"3230","依頼者 他","Requestor  other","PD_C_ANSWER_REQETC_STR"
"3231","公開","Public","PD_C_SECURITY_OPEN_STR"
"3232","非公開","Private","PD_C_SECURITY_CLOSE_STR"
"3233","30百万未満","Less than 30 million","PD_C_COMBO_QM_COST_30MDOWN_STR"
"3234","30百万以上","30 million or more","PD_C_COMBO_QM_COST_30MUP_STR"
"3235","50百万以上","50 million or more","PD_C_COMBO_QM_COST_50MUP_STR"
"3236","100百万以上","More than 100 million","PD_C_COMBO_QM_COST_100MUP_STR"
"3237","基本条件項目設定","Basic condition item settings",""
"3238","条件リスト","Condition list",""
"3239","%1項目以上は設定できません","Cannot set above %1 item",""
"3240","新規登録","New",""
"3241","ツリー非表示","Tree hide",""
"3242","ﾒｰﾙ送信","Send mail",""
"3243","ファイル入力・出力","File inport/export",""
"3244","ｲﾝﾎﾟｰﾄ","Import",""
"3245","ｴｸｽﾎﾟｰﾄ","Export",""
"3246","ｶｽﾀﾏｲｽﾞ","Customize",""
"3247","カレンダー","Calendar",""
"3248","指定条件","Specified condition",""
"3249","案件新規登録","New draft",""
"3250","案件情報参照","View draft information",""
"3251","案件情報更新","Update draft information",""
"3252","審査情報参照","View examination information",""
"3253","審査情報登録","Register examination information",""
"3254","計画書登録","Register plan",""
"3255","計画書参照","View plan",""
"3256","計画書更新","Update plan",""
"3257","プロジェクト登録","Register project",""
"3258","案件削除","Delete draft",""
"3259","メール送信","Send mail",""
"3260","課題新規登録","New issue",""
"3261","課題参照","View issue",""
"3262","課題更新","Update issue",""
"3263","回答参照","View reply",""
"3264","回答登録","Register reply",""
"3265","課題削除","Delete issue",""
"3266","割当てコンテンツ一覧","Contents assignment list",""
"3267","イベント新規登録","New event",""
"3268","イベント流用登録","Register divert event",""
"3269","イベント参照","View event",""
"3270","イベント更新","Update event",""
"3271","イベント削除","Delete event",""
"3272","関連コンテンツがありません。","No relevant contents.",""
"3273","流用登録","Register divert",""
"3274","ｶﾚﾝﾀﾞｰ ","Calendar ",""
"3275","予定日","Scheduled date",""
"3276","実施日","Implementation date",""
"3277","以下の課題をインポートします。","Import the following issue.",""
"3278","以下の回答をインポートします。","Import the following reply.",""
"3279","修正","Correct",""
"3280","「%1」を削除します","Delete [%1]",""
"3281","「%1」を削除しました","[%1] deleted",""
"3282","プロジェクトを選択してください。","Please select the project.",""
"3283","確認済","Validated",""
"3284","%1 他","%1 Other",""
"3285","審査実施日(%1)","Examination implementation date (%1)",""
"3286","審査予定日(%1)","Scheduled examination  date (%1)",""
"3287","サービスイン(","Service in(",""
"3288","サービスイン","Service in",""
"3289","プロジェクト開始日","Project start date",""
"3290","プロジェクト開始","Project starts",""
"3291","プロジェクト終了予定日","Scheduled project completion date",""
"3292","プロジェクト終了","Project completed ",""
"3293","プロジェクト終了日","Project completion  date",""
"3294","回答状況","Reply status",""
"3295","設定条件","Set condition",""
"3296","に正しい値を入力してください"," should be entered correct value",""
"3297","参照済","Viewed",""
"3298","設定解除","Unset",""
"3299","定期設定","Periodic setting",""
"3300","日前より表示","day(s) before  display",""
"3301","開始日","Start date","PD_C_ITEMNAME_START"
"3302","対象メンバー選択","Select target member",""
"3303","下位組織を対象にする","Target sub-organization",""
"3304","全解除","Unselect all",""
"3305","対象メンバーを選択してください","Please select target member",""
"3306","登録日の設定を行ってください","Please set the register date",""
"3307"," ∞"," --",""
"3308","メンバー名","Member name",""
"3309","現在の設定内容","Current settings",""
"3310","上位役職者をすべて表示する","Display all persons with senior positions",""
"3311","参照方法の指定","Specify view method",""
"3312","新しいウィンドウに表示する","Display in new window",""
"3313","参照可能な報告者","referencable reporter","PD_C_COMBO_KND_STR_VIEW"
"3314","未参照の報告者","Unreferenced reporter","PD_C_COMBO_KND_STR_CHECK"
"3315","旧報告者","Old reporter","PD_C_COMBO_KND_STR_OLD"
"3316","表示役職","Display position",""
"3317","参照　","Browse  ",""
"3318","ｺﾒﾝﾄ　","Comment  ",""
"3319","定期登録","Periodic register",""
"3320","個人定期登録","Personal periodic register",""
"3321","組織定期登録","Organizational periodic register",""
"3322","更新日付","Update date",""
"3323","初期処理中…","Initializing...",""
"3324","報告書は登録されていません。","Report not registered.",""
"3325","%1さんの代行作業を開始しますか？","Start %1's deputy work?",""
"3326","を、関連情報を含めて削除します。","is deleted with related information.",""
"3327","既存コード","Existing code",""
"3328","再開","Re-start",""
"3329","要員関連情報削除","Delete member related information",""
"3330","プロジェクト関連情報削除","Delete the project related information",""
"3331","無効な機能が選択されました。( %1 )","Invalid function selected. (%1)",""
"3332","処理を中断して、最初の状態に戻る時は 「OK」を押してください。","Please press [OK] to interrupt processing and return to initial state.",""
"3333","処理を続行するときは 「ｷｬﾝｾﾙ」 を押してください。","Please press [Cancel] to continue process.",""
"3334","ユーザによって処理が中断されました。","Process interrupted by user.",""
"3335","ＩＤを取得できませんでした。","Unable to acquire ID.",""
"3336","関連情報削除処理を完了しました。","Related information deleting process is finished.",""
"3337","新規コード","New code",""
"3338","にコード変更します。","",""
"3339","を、","is replaced with ",""
"3340","社員番号変更","Change login ID",""
"3341","組織コード変更","Change organization code",""
"3342","プロジェクトコード変更","Change project code",""
"3343","会社コード変更","Change company code",""
"3344","役職番号変更","Change position number",""
"3345","本当に変換してもよろしいですか？","Is it really OK to convert?",""
"3346","コード変更処理を完了しました。","Code change process ended.",""
"3347","誤った文字が入力されています。( %1番目 : %2 )","Incorrect character enterted. (No. %1: %2)",""
"3348","メンテナンスツール","Maintenance tool","PD_C_MAINTENANCE_TOOL"
"3349","↓****** Begin Transaction ********","****** Begin Transaction ********",""
"3350","本当に削除してもよろしいですか？","Is it really OK to delete?",""
"3351","ﾀﾞｲｱﾛｸﾞ ｷｬﾌﾟｼｮﾝ","Dialog caption",""
"3352","既存フォルダ","Existing folder",""
"3353","格納フォルダを新規フォルダに変更します。よろしいですか？","Change storing folder to new folder?",""
"3354","添付ファイル格納フォルダ変更","Change attachment storing folder",""
"3355","添付ファイル格納フォルダ","Attachment storing folder",""
"3356","添付ファイル格納フォルダを入力してください。","Please enter attachment storing folder.",""
"3357","フォルダが存在しません。作成してよろしいですか？","Folder not exists. Create it?",""
"3358","添付ファイル格納フォルダが変更されていません。","Attachment storing folder not changed.",""
"3359","フォルダ複製以外の処理を行ってもよろしいですか？","Is it ok to perform processing other than folder duplication?",""
"3360","既存の添付ファイル格納フォルダが存在しません。","Existing attached file storing folder not exists.",""
"3361","添付ファイル格納フォルダを変更してよろしいですか？","Change attachment storing folder?",""
"3362","でエラーが発生しました。","Error occurred in [%1].",""
"3363","フォルダ変更を完了しました。","Folder changed.",""
"3364","プロジェクトＩＤ","ProjectID",""
"3365","未選択です。","Not selected",""
"3366","選択されたプロジェクトコード「%1」には、複数件レコードが存在します。","Multiple records exist in the selected project code [%1].",""
"3367","削除するプロジェクトを選択してください。","Please select the projects to delete.",""
"3368","現在、削除対象に「%1」が選択されています。","%1 is selected as deleting target now.",""
"3369","SuperSCALE基本情報取得","Acquire SuperSCALE base information",""
"3370","取得対象サーバ","Acquire target server",""
"3371","ソフトSCM基本情報取得","Acquire software SCM basic information",""
"3372","IPアドレス","IP address",""
"3373","文字列長が制限を越えています。","String length exceeds the limit.",""
"3374","IPアドレスを設定してください。","Please set IP address.",""
"3375","実行してもよろしいですか？","Are you sure to execute?",""
"3376","表の数がここでの処理数を超過しています。(PrgMISS)","Table numbers exceed the processing number at the moment. (PrgMISS)",""
"3377","ＩＤ選択","Select ID",""
"3378","無効な機能が選択されました。( ","Invalid function selected.  ( ",""
"3379","入力コード（ %1 ）のデータが複数存在します。","Multiple data of input code ( %1 ) exists.",""
"3380","下のリストから対象を選択して「ＯＫ」ボタンを押してください。","Please select target from the list below, then press [OK] button.",""
"3381","処理を中断する場合は「ｷｬﾝｾﾙ」ボタンを押してください。","Please press [Cancel] button if you want to interrupt processing.",""
"3382","削除条件","Deletion condition",""
"3383","実コンテンツを残す","Leave actual contents",""
"3384","実コンテンツを削除する","Delete actual contents",""
"3385","コンテンツデータのみを削除する","Delete contents data only",""
"3386","報告書データのみを削除する","Delete report data only",""
"3387","プロジェクトに関するデータから削除するものを指定する","Specify data to be deleted from the project related data",""
"3388","プロジェクトに関するすべてのデータを完全に削除する","Delete all the related data of the project completely",""
"3389","（注）灰色のものは削除対象ではありません。","(Note) Targets with gray checkbox are not deleted ones.",""
"3390","削除対象プロジェクト","Delete target project",""
"3391"," (削除日時:"," (Deleted on:",""
"3392","プロジェクトが選択されていません。","Project not be selected.",""
"3393","削除するプロジェクトの条件が指定されていません。","Conditions for deleting project not being specified.",""
"3394","削除するデータの条件が指定されていません。","Conditions for deleting data not being specified.",""
"3395","指定された%1個のプロジェクトを以下の条件で削除してよろしいですか","Are you sure to delete the %1 specified projects by the following conditions?",""
"3396","削除プロジェクト情報の取り消し","Cancel project information deletion",""
"3397","すぺてチェック","Check all",""
"3398","復元","Restore",""
"3399","（注）チェックボックスが灰色のものは復元対象ではありません。","(Note) Targets with gray checkbox are not restored ones.",""
"3400","削除プロジェクト情報","Delete project information",""
"3401","指定された%1個のプロジェクトを復元してよろしいですか","Are you sure to restore the %1 specified projects?",""
"3402","復元してもよろしいですか？","Are you sure to restore?",""
"3403","プロジェクトを%1個復元しました｡","%1 projects restored.",""
"3404","サーバ情報変更機能","Server information change function",""
"3405","データ取得機能","Data acquisition function",""
"3406","基本情報取得","Acquire basic information",""
"3407","データ復元機能","Data restore function",""
"3408","データ削除機能","Data deletion function",""
"3409","プロジェクトのコンテンツ削除","Delete the contents of the project",""
"3410","受注案件関連情報削除","Delete order draft related information",""
"3411","コード変更機能","Code change function",""
"3412","！アプリケーション開始%1","! Application started %1",""
"3413","！アプリケーション終了","! Application ended",""
"3414","削除された受注案件関連情報を削除します。","Delete the order draft related information deleted.",""
"3415","削除済みの受注案件はありません。","There exist no deleted order draft.",""
"3416","選択画面に戻ります。","Return to the selection page.",""
"3417","削除済みの受注案件は%1個です。","%1 order draft deleted.",""
"3418","削除しますか?","Delete?","PD_MSG_CON_DEL"
"3419","受注案件関連情報削除処理を完了しました。","Order draft related information deleted.",""
"3420","削除されたプロジェクトのコンテンツを削除します。","Delete the project contents deleted.",""
"3421","完全に削除する場合には、[プロジェクト関連情報削除]を選んでください。","Please select [Delete Project related information] when completely deleting.",""
"3422","削除済みのプロジェクトはありません。","There exist no deleted projects.",""
"3423","削除済みのプロジェクトは%1個です。","%1 projects deleted.",""
"3424","削除対象のコンテンツはありません。","There exist not target contents to delete.",""
"3425","削除対象のコンテンツは%1個です。","There exist %1 target contents to delete.",""
"3426","インポート結果","Import results",""
"3427","項目が誤っています。(%1)","Item is mistaken. (%1)",""
"3428","リスト項目が誤っています。(%1)","List item is mistaken. (%1)",""
"3429","複数要員が誤っています。(%1)","Multiple members are mistaken. (%1)",""
"3430","要員名に誤りがあります。(%1)","Member name is mistaken. (%1)",""
"3431","組織名に誤りがあります。","Organization name is mistaken.",""
"3432","文字の長さが最大(%1)バイト)を超えています","Character length exceeds the maximum length (%1)",""
"3433","要員名取得でエラーになりました。","Error occurred when acquiring member name",""
"3434","リスト名取得でエラーになりました。","Error occurred when acquiring list name.",""
"3435","選択項目が正しくありません%1","Selected item is not correct %1",""
"3436","選択項目が正しくありません","Selected item is not correct",""
"3437","選択項目が重複しています","Repeated selected item",""
"3438","プロジェクト種別が違います。(%1)","Project type is different. (%1)",""
"3439","更新用データベースオープンでログインに失敗しました","Database for update opened, but failed to login",""
"3440","正常にインポートしました。","Installed successfully.","PD_MSG_IMP_SUCCESS"
"3441","プロジェクト名が指定されていません。","Project name not specified.","PD_MSG_NOT_PRJNAME"
"3442","存在しないプロジェクトです。","Nonexistent project","PD_MSG_NOTFOUND_PRJNAME"
"3443","プロジェクト計画書","Project plan","PD_C_PLANNING_NAME"
"3444","プロジェクト完了報告書","Project completion report","PD_C_REPORT_NAME"
"3445","ファイルを作成しました。","File created.",""
"3446","ファイルの作成でエラーが発生しました。コード = 0x","Error occurred when creating file. Code = 0x",""
"3447","第%1版","The %1 version",""
"3448","CSVインポート","CSV import",""
"3449","プロジェクト種別","Project type",""
"3450","CSVデータが不正です。","Illegal CSV data",""
"3451","%1はインポート先に存在しません。","%1 not exists in the import destination.",""
"3452","%1 のデータは重複しています","Data of %1 repeated",""
"3453","繰返し項目が誤っています。","The repetitive item is mistaken.",""
"3454","繰返し項目のチェック中、エラーが発生しました。","Error occurred when checking repetitive items.",""
"3455","計画書.csv","Plan.csv",""
"3456","完了報告書.csv","Completion report.csv",""
"3457","稼動日","Start date",""
"3458","計画書","Plan",""
"3459","計画書の項目数が足りません","Plan items not enough",""
"3460","完了報告書の項目数が足りません","Completion report items not enough",""
"3461","大項目列数は２以上に設定してください","Please set large item columns to 2 or above",""
"3462","表示項目数を%1以内にして下さい","Please set display number within %1",""
"3463","小項目行数は２以上に設定してください","Please set the smaller item rows 2 or above",""
"3464","大項目列数は３以上に設定してください","Please set large item columns to 3 or above",""
"3465","登録中","Registering","PD_C_OUTPUTSTR_PISTATE_SOMEREG"
"3466","%1に正しい値を入力してください","Please enter correct value in %1",""
"3467","計画書新規作成","New plan",""
"3468","完了報告書新規作成","New completion report",""
"3469","計画書情報参照","View plan information",""
"3470","計画書情報更新","Update plan information",""
"3471","計画書削除","Delete plan",""
"3472","完了報告書情報参照","View completion report information",""
"3473","完了報告書情報更新","Update completion report information",""
"3474","完了報告書削除","Delete completion report",""
"3475","完了報告書も同時に削除されます","Completion report will be deleted at the same time",""
"3476","「%1」の計画書を削除します","Delete [%1]'s plan",""
"3477","「%1」の計画書を削除しました","[%1]'s plan deleted",""
"3478","「%1」の完了報告書を削除します"," Delete [%1]'s completion report",""
"3479","「%1」の完了報告書を削除しました","[%1]'s completionreport deleted",""
"3480","すでにメイン検索項目として設定されています","Already set as main search item",""
"3481","組織内に公開","Open to public in the organization",""
"3482","ＶＳＳ","VSS",""
"3483","ＰＶＣＳ","PVCS",""
"3484","ＣＶＳ","CVS",""
"3485","作業なし","No work",""
"3486","作業完","Work finished",""
"3487","前期","Previous period",""
"3488","当期","Current term",""
"3489","翌期","Next period",""
"3490","前月","Previous month",""
"3491","当月","Current month",""
"3492","翌月","Next month",""
"3493","30未満","Under 30",""
"3494","30以上","30 or more",""
"3495","50以上","50 or more",""
"3496","100以上","100 or more",""
"3497","1,000以上","1,000 or more",""
"3498","プロジェクト構成情報取得でエラーが発生しました","Failed to acquire project structure information",""
"3499","プロセス情報取得でエラーが発生しました","Error occurred when acquiring process information",""
"3500","依頼元情報取得でエラーが発生しました","Error occurred when acquiring requestor information",""
"3501","管理項目選択情報取得でエラーが発生しました","Error occurred when acquiring management item selection information",""
"3502","親プロジェクト名情報の取得でエラーが発生しました","Error occurred when acquiring parent project name information",""
"3503","組織名の取得でエラーが発生しました","Error occurred when acquiring organization",""
"3504","プロジェクト要員情報の取得でエラーが発生しました","Error occurred when acquiring project member information",""
"3505","審査関連設定情報の取得でエラーが発生しました","Error occurred when acquiring examination  related setting information",""
"3506","ｻﾝﾌﾟﾙ 4","Sample 4",""
"3507","ｻﾝﾌﾟﾙ 3","Sample 3",""
"3508","ｻﾝﾌﾟﾙ 2","Sample 2",""
"3509","複数回の審査を展開して出力する","Expand examinations, and export",""
"3510","検索対象審査名","Search target examination name",""
"3511","終了プロジェクト","Completed project",""
"3512","･","/",""
"3513","要員選択","Select member",""
"3514","すべて開く","Open all",""
"3515","すべて閉じる","Close all",""
"3516","選択","Select",""
"3517","フリガナ","FURIGANA",""
"3518","名前（～を含む）","Name (include -- )",""
"3519","親プロジェクト名","Parent project name",""
"3520","登録組織","Register organization",""
"3521","終了予定日","Scheduled end  date","PD_C_CEL_TEXT_ENDA"
"3522","プロジェクトタイプ","Project type",""
"3523","品質保証責任者","Quality controller",""
"3524","前回サービスイン","previous service in",""
"3525","新規規模","New scale","PD_C_CEL_TEXT_NEW"
"3526","改造規模","Reconstruction scale","PD_C_CEL_TEXT_REC"
"3527","母体規模","Matrix scale",""
"3528","流用規模","Scale diverted",""
"3529","重要度","Importance","PD_C_S_IMPORT_DEGREE"
"3530","受注額","Order value",""
"3531","売上額","Sales",""
"3532","ソフト費用","Softrware cost",""
"3533","投入実績原価","Actual input cost","PD_C_S_RESULT_COST"
"3534","実績規模","Actual scale","PD_C_S_RESULT_SCALE"
"3535","ＧＰ","GP",""
"3536","原価率","Cost rate",""
"3537","コンテンツリビジョン","Contents reversion",""
"3538","コンテンツ共有フォルダ","Contents share folder",""
"3539","売上","Sales",""
"3540","見積原価","Estimation cost",""
"3541","最新見込原価","latest estimated cost",""
"3542","差異","Variance",""
"3543","GP額","GP amount",""
"3544","GP率","GP ratio",""
"3545","アイコン表示","Display Icon",""
"3546","最新状況報告の登録状況を表示する","Display registration status of latest status report ",""
"3547","プロセスの適用状況を表示する","Display process application status",""
"3548","金額表示単位","Amount display unit",""
"3549","項目数を1000以内にして下さい","Please set the items number within 1000",""
"3550","最新状況報告登録状況","Registration status of latest status report ",""
"3551","プロセス適用状況","Process applied status",""
"3552","「定性評価（総合）」が小項目に設定されています","[Qualitative evaluation (comprehensive)] is set as smaller item",""
"3553","「定量評価（総合）」が小項目に設定されています","[Quantitative evaluation (comprehensive)] is set as smaller item",""
"3554","審査実施","Examination implementation","PD_C_ITEMGID_SEARCH_QM_JUDGEND_STR"
"3555","予定なし","No schedule","PD_C_NOPLDT"
"3556","審査名 項目GID","Examination name Item GIP",""
"3557","審査名 データGID","Examination name Data GIP",""
"3558","審査結果","Examination result",""
"3559","プロジェクト(%1)の審査実施情報を更新しました。","The examination implementation information of project (%1) has updated.",""
"3560","%1の予定日はプロジェクト終了予定日(%2)以降にしてください","Please set the scheduled date of %1 later than the scheduled project completion date(%2)",""
"3561","%1の予定日はプロジェクト開始日(%2)以降にしてください","Please set the scheduled date of %1 later than the project start date(%2)",""
"3562","%1の予定日はサービスイン日(%2)以前にしてください","Please set the scheduled date of %1 earlier than the service in date(%2)",""
"3563","%1の予定日はプロジェクト終了予定日(%2)以前にしてください","Please set the scheduled date of %1 earlier than the scheduled project completion date(%2)",""
"3564","%1の予定日は%2の予定日以降にしてください","Please set the scheduled date of %1 later than %2's",""
"3565","%1の予定日を入力してください","Please enter the scheduled date of %1",""
